fsq_id,free_bikes,bike_station,empty_slots,latitude,longitude,distance
4b2b8a46f964a52057b724e3,4,21,7,41.787539,-87.644874,112
5abd5f1697cf5a6f517f6e91,4,21,7,41.787539,-87.644874,162
5333308c498e832a60af3d55,5,22,6,41.960631,-87.745359,64
4a807b49f964a52069f51fe3,5,22,6,41.960631,-87.745359,42
520c391a11d2d981be88347b,5,22,6,41.960631,-87.745359,172
5a6fafafc62b49492c130013,5,22,6,41.960631,-87.745359,50
535b07c3498eba1a59a21680,5,22,6,41.960631,-87.745359,47
5d4addc07928f300080223b3,5,22,6,41.960631,-87.745359,159
4b67a136f964a520ad582be3,5,22,6,41.960631,-87.745359,109
4b4a7352f964a520038826e3,5,22,6,41.960631,-87.745359,249
4b2b8a46f964a52057b724e3,5,22,6,41.960631,-87.745359,112
5abd5f1697cf5a6f517f6e91,5,22,6,41.960631,-87.745359,162
5333308c498e832a60af3d55,1,23,28,41.891466,-87.626761,64
4a807b49f964a52069f51fe3,1,23,28,41.891466,-87.626761,42
520c391a11d2d981be88347b,1,23,28,41.891466,-87.626761,172
5a6fafafc62b49492c130013,1,23,28,41.891466,-87.626761,50
535b07c3498eba1a59a21680,1,23,28,41.891466,-87.626761,47
5d4addc07928f300080223b3,1,23,28,41.891466,-87.626761,159
4b67a136f964a520ad582be3,1,23,28,41.891466,-87.626761,109
4b4a7352f964a520038826e3,1,23,28,41.891466,-87.626761,249
4b2b8a46f964a52057b724e3,1,23,28,41.891466,-87.626761,112
5abd5f1697cf5a6f517f6e91,1,23,28,41.891466,-87.626761,162
5333308c498e832a60af3d55,7,24,4,42.032562,-87.679101,64
4a807b49f964a52069f51fe3,7,24,4,42.032562,-87.679101,42
520c391a11d2d981be88347b,7,24,4,42.032562,-87.679101,172
5a6fafafc62b49492c130013,7,24,4,42.032562,-87.679101,50
535b07c3498eba1a59a21680,7,24,4,42.032562,-87.679101,47
5d4addc07928f300080223b3,7,24,4,42.032562,-87.679101,159
4b67a136f964a520ad582be3,7,24,4,42.032562,-87.679101,109
4b4a7352f964a520038826e3,7,24,4,42.032562,-87.679101,249
4b2b8a46f964a52057b724e3,7,24,4,42.032562,-87.679101,112
5abd5f1697cf5a6f517f6e91,7,24,4,42.032562,-87.679101,162
5333308c498e832a60af3d55,2,25,11,42.048214,-87.683485,64
4a807b49f964a52069f51fe3,2,25,11,42.048214,-87.683485,42
520c391a11d2d981be88347b,2,25,11,42.048214,-87.683485,172
5a6fafafc62b49492c130013,2,25,11,42.048214,-87.683485,50
535b07c3498eba1a59a21680,2,25,11,42.048214,-87.683485,47
5d4addc07928f300080223b3,2,25,11,42.048214,-87.683485,159
4b67a136f964a520ad582be3,2,25,11,42.048214,-87.683485,109
4b4a7352f964a520038826e3,2,25,11,42.048214,-87.683485,249
4b2b8a46f964a52057b724e3,2,25,11,42.048214,-87.683485,112
5abd5f1697cf5a6f517f6e91,2,25,11,42.048214,-87.683485,162
5333308c498e832a60af3d55,0,26,51,41.884728,-87.619521,64
4a807b49f964a52069f51fe3,0,26,51,41.884728,-87.619521,42
520c391a11d2d981be88347b,0,26,51,41.884728,-87.619521,172
5a6fafafc62b49492c130013,0,26,51,41.884728,-87.619521,50
535b07c3498eba1a59a21680,0,26,51,41.884728,-87.619521,47
5d4addc07928f300080223b3,0,26,51,41.884728,-87.619521,159
4b67a136f964a520ad582be3,0,26,51,41.884728,-87.619521,109
4b4a7352f964a520038826e3,0,26,51,41.884728,-87.619521,249
4b2b8a46f964a52057b724e3,0,26,51,41.884728,-87.619521,112
5abd5f1697cf5a6f517f6e91,0,26,51,41.884728,-87.619521,162
5333308c498e832a60af3d55,0,27,16,41.886875,-87.62603,64
4a807b49f964a52069f51fe3,0,27,16,41.886875,-87.62603,42
520c391a11d2d981be88347b,0,27,16,41.886875,-87.62603,172
5a6fafafc62b49492c130013,0,27,16,41.886875,-87.62603,50
535b07c3498eba1a59a21680,0,27,16,41.886875,-87.62603,47
5d4addc07928f300080223b3,0,27,16,41.886875,-87.62603,159
4b67a136f964a520ad582be3,0,27,16,41.886875,-87.62603,109
4b4a7352f964a520038826e3,0,27,16,41.886875,-87.62603,249
4b2b8a46f964a52057b724e3,0,27,16,41.886875,-87.62603,112
5abd5f1697cf5a6f517f6e91,0,27,16,41.886875,-87.62603,162
5333308c498e832a60af3d55,0,28,18,41.882134,-87.625125,64
4a807b49f964a52069f51fe3,0,28,18,41.882134,-87.625125,42
520c391a11d2d981be88347b,0,28,18,41.882134,-87.625125,172
5a6fafafc62b49492c130013,0,28,18,41.882134,-87.625125,50
535b07c3498eba1a59a21680,0,28,18,41.882134,-87.625125,47
5d4addc07928f300080223b3,0,28,18,41.882134,-87.625125,159
4b67a136f964a520ad582be3,0,28,18,41.882134,-87.625125,109
4b4a7352f964a520038826e3,0,28,18,41.882134,-87.625125,249
4b2b8a46f964a52057b724e3,0,28,18,41.882134,-87.625125,112
5abd5f1697cf5a6f517f6e91,0,28,18,41.882134,-87.625125,162
5333308c498e832a60af3d55,1,29,29,41.890573,-87.622072,64
4a807b49f964a52069f51fe3,1,29,29,41.890573,-87.622072,42
520c391a11d2d981be88347b,1,29,29,41.890573,-87.622072,172
5a6fafafc62b49492c130013,1,29,29,41.890573,-87.622072,50
535b07c3498eba1a59a21680,1,29,29,41.890573,-87.622072,47
5d4addc07928f300080223b3,1,29,29,41.890573,-87.622072,159
4b67a136f964a520ad582be3,1,29,29,41.890573,-87.622072,109
4b4a7352f964a520038826e3,1,29,29,41.890573,-87.622072,249
4b2b8a46f964a52057b724e3,1,29,29,41.890573,-87.622072,112
5abd5f1697cf5a6f517f6e91,1,29,29,41.890573,-87.622072,162
5333308c498e832a60af3d55,3,30,18,41.88169,-87.63953,64
