id_x,review_count,rating,free_bikes,bike_station,empty_slots,latitude,longitude
Mud-L2vMAtmvWpjo3tDvaA,195.0,4.5,12,8,1,41.929143,-87.649077
FyIWrSIlL_iwmjDZ3EpoBg,8.0,4.5,12,8,1,41.929143,-87.649077
1gLInRBin_fPUyyVPXppVg,6.0,4.5,2,9,9,41.805661,-87.683392
Iad9WnMd4ip5hVaPX58dkw,27.0,4.5,2,9,9,41.805661,-87.683392
Buki8-lmQ_boaHKVVYZdaQ,3.0,5.0,2,9,9,41.805661,-87.683392
U9wps0-aMkX9GCF4-rDPxw,4.0,5.0,2,9,9,41.805661,-87.683392
zDUtUsnWz7xmQnYx637VTg,11.0,4.5,2,9,9,41.805661,-87.683392
Y7YGPgwg1ZLaxgHUokPw8w,10.0,4.5,2,9,9,41.805661,-87.683392
WBKcTdnNz8Wf73xY7hlIPQ,35.0,4.0,2,9,9,41.805661,-87.683392
H8GgvcvvkRwx3sFsgO9IhA,6.0,4.0,2,9,9,41.805661,-87.683392
yOevdLj11C7tZZNZbaIGZA,3.0,4.5,2,9,9,41.805661,-87.683392
6sBI5lRcXqlw5TlV-BQ9vQ,7.0,4.0,2,9,9,41.805661,-87.683392
uyFoxDWVXrk-bATX4TOqWg,7.0,4.0,2,9,9,41.805661,-87.683392
ORk0F4B1pLNfg2a5mcVlHA,11.0,4.0,2,9,9,41.805661,-87.683392
4Hgo5XvQ4M-ogrigCm9yIw,24.0,4.0,2,9,9,41.805661,-87.683392
Oc3akXzxzTRgJ5YLoP7b-Q,7.0,4.0,2,9,9,41.805661,-87.683392
d3HefXXHLVVlAa2uRu1uGA,11.0,4.0,2,9,9,41.805661,-87.683392
b51pnOo5Gx_BtYfCpcu7lQ,5.0,4.0,2,9,9,41.805661,-87.683392
UwAp4bSOWXiqX62Zr0kEsA,24.0,3.5,2,9,9,41.805661,-87.683392
ZmBSB-_pYUK6jsLCUrjb7A,38.0,3.5,2,9,9,41.805661,-87.683392
IjkrNytT5cGT4Z3K7onR4g,7.0,3.0,2,9,9,41.805661,-87.683392
JDKWWB5LACT4v04IZwocCw,61.0,3.0,2,9,9,41.805661,-87.683392
82wQRtWo64W0a-7IQzQFXQ,18.0,5.0,2,10,8,41.92459,-87.72785
I9UCXCjO9YcfTv6ePJEiRw,76.0,5.0,2,10,8,41.92459,-87.72785
nv_WBmoZ5wTjE2bH_GxkkQ,73.0,4.5,2,10,8,41.92459,-87.72785
H1Bs27aRoY5X3UyJEm_Q0Q,162.0,4.5,2,10,8,41.92459,-87.72785
SIpkuonA9o15KGEuy-PTUA,58.0,4.5,2,10,8,41.92459,-87.72785
1RlVjH_pCBuI9SqjgNyDqg,7.0,4.5,2,10,8,41.92459,-87.72785
Vu1iI-olI44EMcNdATYV3w,60.0,4.5,2,10,8,41.92459,-87.72785
edrLSAlkva2mTzvUeTepSQ,3.0,5.0,2,10,8,41.92459,-87.72785
8dqQ4RV4AMC6sHzwsjCz9Q,383.0,4.5,2,10,8,41.92459,-87.72785
12qhu01BPopgTDEFh1S6xg,149.0,4.5,2,10,8,41.92459,-87.72785
Mvz2uzkYmsTppsPhH04qTQ,20.0,4.5,2,10,8,41.92459,-87.72785
noZ9uNuIqbCeM10DbRziZw,29.0,4.5,2,10,8,41.92459,-87.72785
-HqkUZg3tu-ZAV1RhdzXHQ,281.0,4.5,2,10,8,41.92459,-87.72785
7HpSRBq53iWWkH2jH9FBeA,2.0,5.0,2,10,8,41.92459,-87.72785
F2hijfBSp6e5fZPwPAnAeQ,2.0,5.0,2,10,8,41.92459,-87.72785
hv9IJpOjOkigqN7n8BeS4A,58.0,4.0,2,10,8,41.92459,-87.72785
igoKL3ikURiKScUSS6cocg,121.0,4.0,2,10,8,41.92459,-87.72785
jTAhNRSaLnIiYxR6_YORPQ,40.0,4.0,2,10,8,41.92459,-87.72785
K_rdigDLXDYoyCjerZLQsg,141.0,4.0,2,10,8,41.92459,-87.72785
it70fG4Ke0ZfnBjKt8zBLA,250.0,4.0,2,10,8,41.92459,-87.72785
gsIOrMxksDIsR6YywAFT2g,33.0,5.0,9,11,4,41.94367,-87.64895
Yc_VAHPXcl_h2CeEr_XfkQ,196.0,5.0,9,11,4,41.94367,-87.64895
1eDnD3CN9jLydSugYIO50w,85.0,5.0,9,11,4,41.94367,-87.64895
95bFwU1HaLwsP0jXkk9BDw,40.0,5.0,9,11,4,41.94367,-87.64895
-KZsoQtr3e-md07sj0UQzQ,513.0,5.0,9,11,4,41.94367,-87.64895
HWKLeqsR9o20NSYW3hi1GA,51.0,5.0,9,11,4,41.94367,-87.64895
9VjA3OhPq6jbtliLL3Z-DA,68.0,5.0,9,11,4,41.94367,-87.64895
fPlA_n18OTA09KiF8j0qXg,262.0,5.0,9,11,4,41.94367,-87.64895
5YtLXPKNx7DOVJc2YKhnww,54.0,5.0,9,11,4,41.94367,-87.64895
6EU1pDvPkbJcOm0krwYdzg,113.0,4.5,9,11,4,41.94367,-87.64895
Msq026okPVK4X7zPfobzEg,55.0,4.5,9,11,4,41.94367,-87.64895
qXpvnq1EJ27iuoghG5A4-g,540.0,4.5,9,11,4,41.94367,-87.64895
qQfpPjZffGOJqODx_mEgHA,19.0,4.5,9,11,4,41.94367,-87.64895
